CICIDS2017

640	440	220	62.85714286	107.349008	1246875	17187.5	135.557286	445	497	164	10937.5	6250	220	66.5	99.00183653	9801.363636	72.54545455	62.85714286	164	440	8192	2053	0

900	600	300	66.66666667	132.2875656	3937777.778	14444.44444	192.7952282	684	734	204	10000	4444.444444	1472	253.1428571	527.4342623	278186.9011	272.6153846	66.66666667	204	600	8192	2053	0

1205	2776	1388	396.5714286	677.2746506	4652282.158	9128.630705	236.4333357	777	1008	164	5809.128631	3319.502075	1415	467.1666667	690.0989169	476236.5152	509.6363636	396.5714286	164	2776	8192	2053	0


221	14	14	7	9.899494937	63348.41629	13574.66063	43.13351365	141	221	64	9049.773756	4524.886878	14	7	8.082903769	65.33333333	9.333333333	7	64	14	229	0	1
225	14	14	7	9.899494937	62222.22222	13333.33333	48.7903679	147	225	64	8888.888889	4444.444444	14	7	8.082903769	65.33333333	9.333333333	7	64	14	229	0	1
221	14	14	7	9.899494937	63348.41629	13574.66063	84.14570696	170	221	64	9049.773756	4524.886878	14	7	8.082903769	65.33333333	9.333333333	7	64	14	229	0	1
277	14	14	7	9.899494937	50541.51625	10830.32491	130.8147545	231	277	64	7220.216606	3610.108303	14	7	8.082903769	65.33333333	9.333333333	7	64	14	229	0	1



CICIDS2018


3389	1665875	1128	661	141	225.8571429	118991.0714	953123	1665875	237982.1429	1117799	172	4.802281084	4.201995948	1173	169.3125	317.731274	100953.1625	180.6	141	1128	1581	0
53	67765	94	47	47	134	22588.33333	35839	31893	31893	31893	16	29.51376079	29.51376079	134	81.8	47.6518625	2270.7	102.25	47	94	268	0
0	213190	0	0	0	0	53297.5	210095	213190	53297.5	210095	0	23.45325766	0	0	0	0	0	0	0	0	0	0
41967	86370853	0	0	0	0	86400000	86400000	86400000	86400000	86400000	40	0.02315596	0	0	0	0	0	0	0	0	0	0
80	5113386	97	97	24.25	57.75	730483.7143	5051521	61865	20621.66667	61561	92	0.782260522	0.782260522	231	36.44444444	79.69960965	6352.027778	41	24.25	97	231	0
53	1050	35	35	35	83	1050	1050	0	0	0	8	952.3809524	952.3809524	83	51	27.71281292	768	76.5	35	35	83	0
137	1523742	150	50	50	0	761871	765630	1523742	761871	765630	24	1.968837244	0	50	50	0	0	66.66666667	50	150	0	0


8080	10582	326	326	108.6666667	32.25	1763.666667	9413	556	278	501	72	283.5002835	378.000378	326	56.875	115.4066568	13318.69643	65	108.6666667	326	129	1
8080	544	0	0	0	0	544	544	544	544	544	40	3676.470588	0	0	0	0	0	0	0	0	0	1
8080	514	0	0	0	0	514	514	514	514	514	40	3891.050584	0	0	0	0	0	0	0	0	0	1
8080	10838	326	326	108.6666667	32.25	1806.333333	9785	780	390	680	72	276.8038383	369.0717845	326	56.875	115.4066568	13318.69643	65	108.6666667	326	129	1
